publishTime,position,salary,companyName,companyType,companySize,responsibility,requirement,requirement_city,requirement_exp,requirement_edu,avg_salary
发布于2018-11-12 09:44,销售运营,6K-12K,壹元服务,生活服务,B轮500-999人,"具体工作内容描述：1、以微信公众号、微信、App、企业QQ、电话 等销售方式 跟客户沟通交流 ；2、完成公司下达的销售指标；3、认真完成 工作记录 ，确保按公司要求执行相应流程。工作要求：1、普通话标准,具有亲和力和感染力；2、较强的 语言沟通 、表达能力，有较强的工作责任心和热情；3、能胜任在压力下工作,有能力面对挑战,有很强的进取心；4、高中及以上学历；熟练操作电脑，能够运 用办公软件 ；提供三餐、完善的培训机构、成熟的晋升渠道。我们的规模、优势：1.公司员工300多人，2.良好的晋升机制。晋升空间：普通职员———组长———主任——总监。3.薪资待遇：底薪+高额奖金+提供三餐。4.公司统一提供客户资源，无须外跑出差，更不用自己找客户资源或外发传单。5.公司交通便利，距离10号线潘家园站200米，环境良好，整层办公，绿化环保，工作氛围浓厚。办公氛围融洽,团结,互帮互助。以老“帮”新，快速帮助新员工成长提升。",城市：北京经验：1年以内学历：高中,北京,1年以内,高中,9000.0
发布于2018-09-20 11:31,运营经理,10K-18K,快陪练,在线教育,天使轮100-499人,任职资格：1、配合业务部门做月度、季度、年度业务规划，设计符合业务导向的销售激励政策；2、针对销售部门做业务培训指导、督促业务团队日常销售行为规范和过程性指标；3、业务话术、呼叫中心、SOP流程优化，跟踪分析策略、目标、资源的执行情况，推动销售达成业绩目标；4、协调销售部与各部门的对接，处理奖励领取和发放、新人业务培训、市场活动策划与对接等；5、挖掘行业数据商业价值，形成可落地解决方案；分析业务数据，梳理设计业务场景，提升转化率。岗位要求：1、本科及以上学历，理工科优先；2、互联网在线教育行业2年以上业务运营经验，有教育行业背景优先；3、对数据敏感，灵活使用SQL等数据分析工具者优先；4、具备相当的沟通协调能力，能够与其他部门有效协同，并且推动执行；5、具备较强的项目管理能力，可以独立完成项目的规划和推动执行；6、热爱互联网行业，极强责任心，高度工作热情，具备大局观，能承受较强的工作压力。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,14000.0
发布于2018-07-30 17:43,活动运营,10K-18K,众安保险,互联网,已上市1000-9999人,1、负责各类活动方案策划，推进并确保活动的落地执行，2、定期分析活动数据，对后续活动方案进行优化；3、协同BD，整合线上线下的活动营销资源，高效达成拉新/活跃/保费的运营指标；4、协同产品经理，主动推进活动营销工具的建设；5、根据用户需求和产品特点，制定长期的营销计划；任职要求：-三年以上运营经验，有成功活动案例；-具有很强的进取心和自我驱动力，敢于并热爱面对压力；-脑洞大，对网络热点有较强的敏锐度-具有良好的数据分析能力；-有保险及电商运营经验者优先；,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,14000.0
发布于2018-10-18 18:19,德语运营,6K-10K,北京康尔健野,电子商务,B轮100-499人,德语运营岗位职责：1. 管理亚马逊德国站账号，产品上架、推广，优化，物流跟进、售后跟进等工作；2. 处理每日订单，邮件，以及各类售后问题，保存店铺的好评率和良好的信用度和店铺review 的质量；3. 了解行业最新动态，关注竞争对手资讯并收集主推商品信息，运用工具分析调研市场热卖品，和团队成员共同完成选品；4. 准确挖掘产品卖点，编辑产品并上传，与美工合作，完成产品页面制作并负责页面优化和后期维护，撰写关键词并做好标题的优化；5. 根据公司的销售计划负责市场研究分析，制定策略完成销售指标，调研海外市场、了解客户需求、针对不同区域和不同市场做出符合当地客户需求的计划；6. 分析产品主要关键词，负责站内CPC推广；7. 独立沟通解决各种客户问题，包括咨询、售后、处理投诉、站内优化、日常优惠活动和反馈数据进行分析、重大节假日活动提报。任职要求：1. 有1年以上亚马逊销售工作经验，熟悉amazon平台相关政策；2. 本科及以上学历，良好的德语书面表达能力，商务信函写作熟练；3. 熟悉使用office办公软件，有较强的信息处理能力和学习能力；4. 具有优秀的沟通和敏锐的市场嗅觉，善于理解把握客户需求，思维清晰，逻辑性强；5. 有较强的心理抗压能力及团队协助精神，有志于和公司共同成长。,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,8000.0
发布于2018-11-07 12:49,产品运营,9K-13K,瑞祥装饰,工程施工,不需要融资1000-9999人,岗位职责：1、负责平台的线上运营工作，基于客户、合作伙伴认知体验，完成各项目的标准化及流程化建立；2、优化完善平台现有栏目、模块、内容；3、通过分析不同城市的差异性，优化服务，实现精准营销；岗位要求：1、有互联网平台运营工作者优先；2、2年以上行业运营工作经验；3、组织、协调、执行力要强；福利待遇：薪酬：底薪+产品承包+奖金福利：五险一金,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,11000.0
发布于2018-11-16 12:26,社群运营,7K-12K,新东方渔塘科技,在线教育,A轮100-499人,岗位职责 ：1、负责微信用户群的日常运营维护工作； 2、理解妈妈群中的群体偏好和价值，整体负责社群价值定位、社群内容、社群氛围的营造，打造有粘性的高质量社群； 3、制定并完善社群运营计划及相关制度，推动社群的良性发展 4、组织社群进行线上线下互动活动，跟进活动及热门话题的策划、执行和效果追踪； 任职要求 1、本科以上学历，1年以上工作经验，新闻传播或市场营销专业毕业尤佳。 2、脑子灵、点子多、对社群运营事业富有热情和责任感； 3、熟悉线上（互联网）的社群运营，爱好互联网的社区文化； 4、优秀的沟通协调能力、优秀的创意能力； 5、具备良好社群运营管理能力，有社群运营经验者优先。,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,9500.0
发布于2018-11-14 22:42,运营经理,15K-25K,中国移动政企分公司,通信/网络设备,不需要融资1000-9999人,1、负责整体用户运营方案制定，预算制定，方案执行，确保用户的增长率、留存率、活跃度、转化率； 2、负责用户管理体系的建立、维护和完善，用户生命周期管理，建立标准化运营流程，增加用户粘性、用户贡献和用户忠诚度；3、监控业务变化，研究用户在生命周期的不同阶段、各个流程节点的活跃度、留存率、流失率、分析流失原因，及时制定并调整运营策略；4、对用户群体进行细分、挖掘、引导、维护，设计整套用户运营相关激励机制，利用现有用户运营工具和产品或逐步完善相应工具和产品，增加用户粘性、用户贡献和用户忠诚度，增加用户积极性和参与度，促进产品迭代。任职要求：【基本要求】1、大学全日制本科及以上学历，计算机、通信、电子、自动化及相关专业2、英语水平达到国家四级（含）以上或其他同等级别的外语水平以上；3、年龄35周岁以下；【能力要求】1、5年以上用户运营相关从业经验，熟悉移动互联网产品运营及平台运营规则、流程，具有良好的跨业务线沟通.能力与团队协作能力； 2、承担运营任务，有创新思维和强烈责任心，具备良好的协作、项目推动、数据分析能力，抗压能力强。3、强烈的结果导向和数据敏感性，对增长目标负责；【经验要求】1、有用户增长实操经验者优先；2、对To C产品有深刻理解或有丰富的商业化产品运营经验优先考虑。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,20000.0
发布于2018-11-13 15:41,运营专员,6K-9K,百度本地广告,互联网,已上市10000人以上,岗位职责：1.负责增值产品运营工作开展2.推动增值产品及项目落地实施3.分析增值业务优劣，给出优化方案，并制定策略及推进实施4.配合公司总部各类日常对接任职要求：1.专科及以上学历，有2年以上运营经验，有广告运营经验的优先考虑2.逻辑思维强，具备良好的沟通和协调能力3.沟通能力强，善于破冰相处，结实新朋友4.抗压能力强， 不畏惧挑战，勇于攻坚5.熟练使用PPT、Excel等office办公软件,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,7500.0
发布于2018-09-13 14:36,项目运营,6K-10K,OKCoin,互联网,B轮500-999人,岗位职责：1. 负责OK开放交易所项目的运营工作，包含撰写项目文档、梳理流程、跨部门对接等；2. 与合伙伙伴进行商务谈判，向合作伙伴讲解项目运作模式及运作情况；3. 合作达成后，与合作伙伴对接运营方案、产品需求等；4. 维护与合作伙伴的关系。任职要求：1. 此岗位为校招岗位，仅接受2019应届生；2. 本科以上学历，外语、金融、市场营销专业毕业优先；3. 工作效率高、思维灵敏、脑子灵活，点子多；4. 有优秀的英语沟通能力及金融行业从业者优先；5. 区块链行业资深从业者优先。,城市：北京经验：应届生学历：本科,北京,应届生,本科,8000.0
发布于2018-09-03 15:47,用户运营,15K-20K,蛋壳公寓,互联网,B轮1000-9999人,岗位职责：1、监控用户数据，对数据进行统计、分析、总结波动原因。通过线上策略有效激励用户量增长、用户留存率增长、有效用户转化等数据指标；2、完善用户画像，对用户进行分群、分类、分层梳理针对不同分层的用户指定相应的精细化运营方案；3、负责建立有效的用户激励制度和成长体系，持续提升用户体验；4、以用户体验为核心，定期进行用户调研，结合用户反馈总结影响平台服务的主要原因，提出解决与优化方案；任职资格:1、本科及以上学历，3年以上互联网行业或及相关经验；有房产类运营经验优先；2、具有中大型互联网公司数百万级、数千万级用户增长项目操作经验；3、精通会员体系搭建及用户分层运营，对用户行为和用户心理有深度思考和心得；4、能承受一定工作压力，具备较好的沟通能力和团队协作能力。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,17500.0
发布于2018-10-09 14:28,运营,6K-10K,乐客,互联网,A轮100-499人,一、岗位职责：1、针对店内服务人员进行服务标准、服务意识、促销技能、游戏产品介绍、设备基本操作和日常故障处理方法等方面的运营培训；2、针对所辖店面的日常问题的汇总、分析和汇报工作；3、针对所辖店面的日常稽查和指导工作；4、对所辖店面营收负责，对所辖店面人员负责，对所辖店面设备负责，对上级领导负责；5、临时性现场运营服务。二、任职资格：1、具备良好的执行能力，能够按照上级的思路和安排的工作按时按量执行落地；2、具备良好的沟通能力，能够清晰表达思路，做到承上启下的作用；3、具备良好的培训能力，能够将上级意愿、所知、所学形成培训方案，并授予他人；4、具备良好的观察能力，能够及时发现问题，分析问题根源，并做到问题的统计、汇总和汇报；5、具备良好的促销能力，能够根据不同消费人群进行产品促销；6、具备良好的服务意识，能够从消费群体的角度和需求出发，提供切实可行的精细化服务；7、具备良好的学习能力，有一定的计算机操作基础，可以熟练运用WORD和EXCEL;8、从事过主题乐园、儿童乐园、服务类泛娱乐行业等主管职务一年以上;9、能够适应经常性出差。,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,8000.0
发布于2018-11-13 16:56,用户运营,6K-9K,文思海辉,计算机软件,已上市10000人以上,岗位职责：1、参与百度app社区方向的核心用户建设2、负责核心用户的管理，包括招募、质量监控等工作3、通过拉新、激励等手段保证和扩大核心用户稳定贡献职位要求：1、熟悉互联网，有较强的内容sense，文笔好2、对搞笑或情感类互联网社区产品有一定的了解3、了解UGC或社区类产品的用户及产品特点4、喜欢跟人打交道，性格开朗，沟通能力较强,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,7500.0
发布于2018-11-20 00:12,运营顾问,10K-20K,安妮花教育,在线教育,不需要融资10000人以上,岗位职责：1、培训各加盟中心开业前期的开业策划、运营指导；负责各中心的正式运营与管理、帮助和支持；负责中心系统的营运内容培训，并让中心各部门熟悉运作流程，流畅运营。2、日常支持保持与各中心日常联系，并根据销售情况及时给予指导意见，提供有效的解决方案；及时了解各中心的情况，保持日常沟通联系，协同解决对应问题，改善业绩；协调各中心与总部之间的各项工作。3、制定流程及相关资料提供中心标准化的作业流程；提供顾问、市场、客服部门业务更新的相关资料；4、营运管理负责年度会议、区域会议的配合、协调；负责中心未能完成总部要求相关事宜的沟通、督导；关注加盟中心的数据统计，并作分析，根据数据变动及时主动致电加盟商。任职资格：1、英语、教育、市场营销、工商管理等专业大学本科及以上学历;2、在教育领域有3年以上的管理工作经验；3、熟悉教育培训行业，有营销、销售、客服或管理经验；4、精通加盟体系，有丰富的市场运作能力；5、思维敏捷，有良好的文字功底以及文档制作能力，PPT制作能力突出；6、善于统筹、规划并在此基础上建立规范、高效的运营管理体系并优化完善；7、有很强的沟通能力和协调能力；有高度的责任心，抗压能力强。我们将为你提供：☆    五险一金，弹性工作时间；☆    有情怀的老板和团队；☆    你的娃或你未来的娃能享受丰富的教育资源；☆    行业内有竞争力的薪资；☆    明晰的职业规划和上升通道；☆    有机会在公司成熟平台上创业，孵化、运营自己的项目。可发简历到*****,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,15000.0
发布于2018-09-19 17:55,项目运营,8K-15K,北京格局商学,在线教育,未融资100-499人,工作内容：1、用户运营。 （1）在线咨询服务体系搭建及运行；（2）学员激励机制建设；（3）合作伙伴激励机制建设；2、师资运维。（1）师资邀请函、聘书、合作协议、宣传文案等文件的拟定；（2）师资接洽的时间计划及跟进。3、活动运营。（1）线下活动的策划、组织和实施；（2）配合新媒体运营，完成线上推广。要求：1、有两年以上toB或用户群为企业负责人的项目（产品）运营经验；2、有互联网公司用户运营经历者优先；3、有文字功底，善于提炼和总结；4、有事业心，愿意在工作中追求幸福感和成就感。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,11500.0
发布于2018-11-15 07:22,销售运营,8K-16K,中国平安人寿保险,保险,已上市10000人以上,负责维护老客户，推荐符合客户需求的产品，完成二次销售,城市：北京经验：1年以内学历：大专,北京,1年以内,大专,12000.0
发布于2018-11-01 14:40,数据运营,6K-10K,闲徕互娱,游戏,不需要融资1000-9999人,数据运营岗位职责：1. 基于对互联网B2C/B2B模式的了解，结合代理分销的业务模式的基础上，独立承担数据运营分析工作，为业务和商品提供数据决策和策略支持，分析方向包括但不限于行业分析、竞对动态、用户运营分析、活动运营分析、市场运营效果、经营分析、收益管理等2. 通过对产品业务的抽象研究分析，搭建数据指标体系，在消费预测、用户分层、精细化运营等方向上发起数据项目切实驱动产品业务发展3. 负责产品业务数据系统规划建设，围绕用户、供应等维度构建业务数据模型，与业务平台及外部数据平台对接，固化常规分析、管控数据平台4. 具备较强的沟通和协调能力，在团队中可以起到项目leader作用 岗位要求：1. 本科及以上学历，统计学、数学、信息管理、经济学、计算机等相关专业2. 善于沟通，具有良好的团队合作精神，具备较强的项目管理经验3.两年及以上互联网站数据统计和运营分析经验4.精通与数据分析相关的办公软件，掌握建立数据分析的产品语言及相关软件5.有数据运营、用户画像、精细化营销策略经验优先,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,8000.0
发布于2018-08-28 09:48,模型运营,8K-16K,酷家乐,互联网,D轮及以上1000-9999人,岗位职责1、服务于家居建材类商家，解决其商品模型相应的疑难问题；2、负责推动商家商品（家居软装、硬装建材）的3D模型化，完成商家线上素材库的搭建，为商家深度使用3D室内设计软件垫定基础；3、辅导商家商品素材方面的相关知识，培养商家素材自我解决能力；4、很好的协作商务、运营、产品等部门推动模型相应问题的解决；任职要求1、熟练的使用3DMAX、photoshop、CAD图像处理软件等；2、了解家装家具模型相关知识；有家居模型行业从业经验者优先；3、主动性强、学习能力强，有良好的服务意识和客户责任感，有较强的沟通协调能力，善于团队合作；4、逻辑能力强，积极上进，目标导向并有良好的自我管理能力；,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,12000.0
发布于2018-11-19 19:21,项目运营经理,20K-40K,贝壳找房,互联网,C轮10000人以上,工作职责:1、	负责B端客服类外包项目的各项工作，包含项目搭建、供应商对接、流程建立等工作；2、	负责项目的日常管理，包括日常作业监管、数据监督和业绩监管；3、	负责项目团队人员技能提升工作，包括开展各项技能培训、进行各类能力考核，对于项目员工的业绩、技能和工作状态有清晰的掌握；4、	定期提供区域内项目的进展情况，从公司的角度进行数据统计与分析，监控费用投入和业绩产出的状态；5、	对业务KPI指标负责，保障各周期业绩指标的达成；6、	统筹区域内的相关项目，管理与控制项目进程中的潜在风险，不断优化业务流程。（对接多项目时，需要此项工作职能）任职资格:1、	统招本科及以上学历；2、	有5年以上客服类相关项目的管理经验，对于合作的关键指标和运营模式充分了解；3、	对数据敏感，具备高层次的数据分析、运营分析和风险评估能力；4、	具有严谨的逻辑思维能力，改善客户体验和问题处理能力；5、	具有目标分解能力，能够将复杂工的工作分解为标准化作业的能力，并能够在日常工作中贯彻实施并不断改善；6、	参与过客户售前谈判、项目转移或项目建立，能够准确的把握客户的需求，有类似工作经验或者成功案例者优先。,城市：北京经验：5-10年学历：本科,北京,5-10年,本科,30000.0
发布于2018-08-14 12:46,用户运营,6K-12K,斯利安,其他行业,不需要融资1000-9999人,岗位描述：1.挖掘用户的深层次需求，满足其多样化需求；2.从用户生命周期角度运营用户，提高全站用户的活跃度及粘性；3.用户日常运营和维护工作以及用户数据分析（用户社群、圈子行为分析）；4.制定并实施清晰的用户互动策略，通过持续互动转化潜在用户；5.结合用户需求和点策划相关活动（线上、线下）并执行，定期与粉丝互动；6.探索推广模式与渠道，扩大粉丝规模，提高用户活跃度和忠诚度；岗位要求：1、1年以上互联网产品运营经验或产品策划经验；2、具备良好的总结意识和分析习惯，善于推动改善产品体验；3、具有很强的项目管理及项目执行力，能够高效的跨部门沟通和跨团队协作；4、责任心强，积极乐观，良好的服务意识，学习能力、抗压能力强。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,9000.0
发布于2018-11-15 15:43,运营编辑,5K-6K,比链科技,互联网,B轮100-499人,岗位职责：主要负责APP上内容的编辑、资料的抓取、审核要求：机灵 沟通良好 够细心 如果你还有多样技能 更好PS 技能,城市：北京经验：应届生学历：大专,北京,应届生,大专,5500.0
发布于2018-11-07 11:19,社群运营,6K-8K,我要车,电子商务,B轮500-999人,岗位职责：1、负责社群用户的拉新、活跃、留存、转化；2、负责社群答疑、产品的推荐；3、负责社群的活动策划，促进用户增长，提升社群活跃度和粘性；4、完成公司要求的新增目标用户数、有效资源等营销指标。任职资格：1、大专及以上学历，1年以上社群或用户运营工作经验；2、对汽车行业感兴趣，.熟悉社群运营技巧；3、善于沟通，思维敏捷，良好的团队协作精神和创新能力,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,7000.0
发布于2018-09-15 17:58,运营助理/专员,4K-7K,新东方学校,在线教育,已上市10000人以上,1.     工作内容1） 线上线下招生宣传2） 线上线下招生活动方案执行3） 宣传品设计4） 咨询工作及销售5） 领导要求的其他工作2.     个人素质要求1） 认真负责，踏实肯干，执行力强2） 团队意识强3） 掌握办公软件操作，会PS、AI和视频剪辑者优先4） 学习能力强5）沟通表达能力强,城市：北京经验：应届生学历：本科,北京,应届生,本科,5500.0
发布于2018-11-15 15:25,社群运营,7K-10K,普华商学院,在线教育,不需要融资100-499人,岗位职责：1、负责以社会化媒体为主，深度结合线上线下推广活动进行互动整合；2、擅长粉丝裂变，制定运营计划，策划运营方案，增加用户留存及活跃。3、负责能够独立运营各类媒介平台，为粉丝策划与提供优质、有效高度传播性内容；4、整合内外部资源，与社群、平台、行业意见领袖和各合作方等有效沟通和保持友好合作。任职要求：1.熟悉微信及其他社会化媒体营销的运作模式和流程，具备较强的网络营销规划执行能力；2.有新媒体传播的热情，有兴趣开拓新媒体资源；3.具备良好的数据分析能力，文字驾驭能力，敏锐的市场洞察力和策划能力；4.工作态度积极，责任心强，优秀的执行力，能够承受一定的工作压力。,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,8500.0
发布于2018-11-15 13:34,运营总监,12K-15K,中文未来,培训机构,不需要融资100-499人,岗位职责：1、	根据公司战略发展目标，分解和制定运营指标及相应的绩效考核制度、管理制度、运作规范和流程等运营管理体系并持续优化；2、	统筹并参与公司战略经营规划，提出建议并参与决策；3、	制定部门全年预算以及管理监督，控制成本4、	搭建和发展高效、稳定及梯队化队伍，有效调动工作积极性，增强员工凝聚力；5、	招聘优秀的运营管理人员，不断强化和提高员工的业务能力及素质，建设和管理高效团队；6、	根据工作年度发展目标制订年度工作计划和整体经营管理工作，并组织完成；任职要求：1.	本科以上学历，5年以上教育行业或加盟连锁管理工作经验，3年以上团队管理经验；2.	具备较强的沟通能力、计划执行能力、组织协调能力、判断与决策能力，客户管理能力；3.	具备良好的沟通合作技巧和商务谈判能力，较强的营销管理意识；4.	为人公正公平，诚实稳重，亲和力强。5.	具有一线市场及管理经验优先、具有咨询及团队管理经验优先、具有校区运营管理经验优先，具有教育行业加盟机构运营管理经验优先。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,13500.0
发布于2018-09-26 17:31,内容运营,10K-15K,传智播客,在线教育,已上市1000-9999人,岗位描述：1、提升社区互动性，对用户活跃度和留存负责2、站内内容规范制定并推广3、PGC内容产出，协调教学部门产出包括不限于工具教程、入门/进阶教程、科普等4、和产品团队一起挖掘适合的内容场景，优化内容型产品岗位要求：1、文字功底好，抗压能力强，思维活跃，会思考、重落地2、有一定的产品逻辑、运营思维，能很好的解决用户的需求3、有较好的沟通能力和需求分析、挖掘能力，收集和反馈用户需求4、本科以上学历，心理学，语言学，教育学，营销学等相关专业优先5、2年以上内容工作经验，有职业教育行业经验优先，了解IT行业人员需求,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,12500.0
发布于2018-09-28 10:43,初数运营,10K-15K,高思教育,在线教育,不需要融资100-499人,1.负责学科品牌的建立及核心卖点的提炼2.负责学科调研及调研结果的汇总分析3.负责各个阶段运营话术及运营产品的制作4.负责微信公众号及微信群和用户审核团的维护运营工作5.负责和学科中心运营的对接及合作,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,12500.0
发布于2018-09-03 17:58,产品运营经理,15K-25K,公瑾科技,互联网,C轮1000-9999人,工作职责：1、精通产品的业务逻辑、需求背景，结合业务流程及岗位职责，编写产品操作细则；2、关注用户的基本情况，及时了解各服务环节相应岗位的基本情况；3、一线部门的支持工作，提升一线支持人员的产品熟知度及业务能力；4、分析客户需求，反馈市场信息，驱动产品设计，增加用户的积极性和参与度。 5、针对重点产（功能），进行样板客户跟踪，包装及推广；   任职资格： 1、大学本科以上学历，具备3年以上财税行业（财务会计、产品或推广）经验； 2、有财税软件或互联网产品推广经验者优先； 3、熟悉金蝶、用友等主流ERP产品财务模块者优先； 4、逻辑思维能力强，具备一定的数据分析能力；5、创新思考能力强，擅于挖掘客户需求并创造性地满足需求； 6、具备优秀的分析能力、多事件协调和执行能力；7、认同企业文化，具备一定的抗压能力，能适应出差。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,20000.0
发布于2018-07-03 16:58,社群运营,8K-12K,The ONE,互联网,C轮100-499人,岗位职责：1、有计划推进各阶段的社群运营计划，挖掘潜在客户，带动粉丝数量的增长；包括群建立、群员邀请、擅长利用各种途径方法，筛选精准的群员；2、做好社群的日常管理和维护，并根据产品特点，通过各种创新方式定期策划活动，提高社群访问量、社群活力和用户粘度，促进品牌传播和产品销售；3、分析、搜集用户反馈信息，为产品改进、市场政策的优化提供建议；4、微信群日常维护、拓展和流量变现。 任职资格：1、2-3年工作经验，有互联网社群成功推广运营经验，善于发掘和培养活跃用户；2、具备文案策划及线上、线下活动运营和付费内容运营经验者优先；3、具备运营C端用户或教育相关用户经验者优先。4、有极强的逻辑推理能力、数据敏感度和市场洞察能力；5、具备超强的执行能力，目标导向，能够与团队一起达成运营目标；6、工作细致，有条理，责任心强，有较强的领悟能力和学习能力；,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,10000.0
发布于2018-11-14 10:12,商家运营,15K-30K,58到家,互联网,A轮1000-9999人,工作内容：制定劳动者分层策略、劳动者促活策略、劳动者留存策略、劳动者线上匹配策略等和劳动者相关的线上运营策略。  要求：有线上用户或者商家运营经验；有较强的数据思维；有成熟的运营逻辑,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,22500.0
发布于2018-11-15 07:40,用户运营经理,20K-25K,太保北分售后服务部,保险,已上市1000-9999人,岗位职责：1、负责根据客户的要求，给用户提供专业的保险知识咨询和服务；2、负责推荐保险种类及相关理财产品，并制定保险方案；3、负责定期接受专业保险业务辅导和讲座；4、负责参保客户的后续客户服务工作。任职资格：1、大专及以上学历，年龄24周岁至45周岁；2、具有良好的亲和力、沟通能力及团队合作精神；3、具有良好的心理素质及良好的沟通能力；4、具有积极进取的精神及接受挑战的个性；5、热爱保险行业有营销工作热情，责任心强；6、勤奋好学，勇于接受挑战，有自我创业的想法。工作时间：周一至周五，周末双休，法定节假日休息。,城市：北京经验：1-3年学历：本科,北京,1-3年,本科,22500.0
发布于2018-11-16 13:47,运营编辑,5K-8K,博彦科技,计算机软件,已上市1000-9999人,1. 工作职责负责全网热点资讯监控和运营，对接处理个性化频道的优质内容，编辑加工后进行个性化推荐；对于推荐内容，进行及时的数据总结和复盘；根据市场、产品和用户调研等，梳理、发现和挖掘个性化资讯优质垂类，并进行长期跟进运营。2. 工作要求a、对热点资讯内容具有高度敏感性，对信息筛选和处理有独特视角，有高效的内容搜索和聚合能力；b、资讯涉猎广泛，对时政、财经、娱乐、社会、军事等各类新闻具有敏感性和判断力，关注社会热点，熟悉各大社交媒体；c、乐于学习新知识，工作细致负责，抗压能力强，具备良好的团队合作和沟通能力，能接受夜间和周末值班；d、对数据敏感，有优秀的数据挖掘和分析能力；善于总结和创新；e、有移动媒体、新媒体从业经验者优先。早班是上午7点到16点，小夜班是15点到24点，晚班打车报销,城市：北京经验：1-3年学历：大专,北京,1-3年,大专,6500.0
发布于2018-11-07 18:28,社区运营,7K-14K,宝贝格子,电子商务,已上市100-499人,1、负责线上社群的拓展，社群活动的制定和运营工作，能够完成社群内容规划以及执行，负责社群氛围/内容营造；2、制定社群运营策略，有阶段性、目的性的经营和开发社群，将社群运营价值最大化；3、持续挖掘用户需求，探索更好满足用户需求的运营机制，提高用户转化；4、定期策划线下社群活动，通过富有创意的活动，提升品牌影响力，实现用户转化；5、培养群内粉丝对于品牌的互动，增加粉丝粘性；增加粉丝互动机会，提高品牌认知度与信任度6、定期整理总结运营经验，完成领导交代的其他工作任职要求1、具有3年以上社群电商或微商经验，有2年以上美妆、服装、母婴等社群电商运营经验者优先；2、具有网络分销体系搭建运营推广经验优先；3、熟悉了解有赞、微店等移动电商平台，具有电商或微商运营经验、爆款策划能力者优先；4、具有较强的用户感，擅长从用户及产品体验角度出发，把握用户心理，熟悉各类用户行为；5、头脑清晰、思维灵活、有创新思维能力，较强的组织能力和数据分析能力。,城市：北京经验：1年以内学历：本科,北京,1年以内,本科,10500.0
发布于2018-10-17 16:40,运营支持经理,15K-30K,元海慧诚,互联网金融,C轮1000-9999人,1、完成独立的商务接待，包含完整的业务讲解、客户的各类商务安排等。2、配合市场拓展部区域／线上渠道运营项目和客户情况梳理，包括销售周报、月报、季度报告、年报出具，跟踪和督促销售完成任务指标。3、跟踪项目进度、可能性，对项目的正常与否进行把关，并配合销售完成合同从起草拟定、签署、执行、归档的各项工作，了解付款情况，并对付款进度进行把控和干预。4、配合销售完成相关投标工作的商务和咨信文件的起草和拟定。5、配合销售完成合同信息完善，监督合同执行的各个节点。任职资格：首先要是同行业的，本科以上学历，必须有管理经验，至少5人以上，年龄35以内，优秀人选可放宽年龄条件。,城市：北京经验：3-5年学历：本科,北京,3-5年,本科,22500.0
发布于2018-11-18 18:35,社群运营,6K-8K,Gogotalk,互联网,B轮100-499人,"岗位职责：1、负责微信社群用户的拉新、活跃、留存、转化；2、负责社群答疑、投诉处理，对学员反馈及时跟进；3、负责社群的活动策划，促进用户增长，提升社群活跃度；4、完成公司要求的新增目标用户数、有效资源等营销指标。任职资格：1、全日制本科及以上学历，1年以上社群或用户运营工作经验；2、对教育行业感兴趣，.熟悉社群运营技巧；3、善于沟通，思维敏捷，良好的团队协作精神和创新能力。作息时间：作息时间： 错过早高峰，躲过晚高峰""早班：10：00-20：00晚班：13：00-22：00面试时间:13:00-20:00公司地址：朝阳区慧忠北路逸园商务楼4层。乘车路线：1.地铁：5号线/15号线,大屯路东A口出，沿北苑路向南行400米，至慧忠北路右转，向西行400米至逸园商务楼4层(中国银行旁边)2.公交：秀园站，387路，620路，694路，夜9路，夜26路下车即到",城市：北京经验：1-3年学历：本科,北京,1-3年,本科,7000.0
